Residuals - Micamp Solutions (June 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
820100005280,"MEADOWS FORD",0,0.00,25.00,7.35,17.65,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794242889,"MEADOWS FORD",96,38173.92,1071.68,888.47,183.21,0.48,0.00,0.00,05/14/2024,"CoCard 0827"
498459445884,"MOE GAS AND DIESEL",2343,41908.10,1910.73,1442.34,468.39,1.12,0.00,0.00,09/05/2024,"CoCard 0827"
820100008557,"R AND R OUTDOORS",93,8319.46,444.25,270.48,173.77,2.09,0.00,0.00,03/18/2024,"CoCard 0827"
529808620301036,"RANGERS EXCAVATION LLC",0,0.00,34.99,66.49,-31.50,0.00,0.00,0.00,03/25/2024,"CoCard 0827"
529808620200618,"ROOFTOP CHIMNEY SERVICE",23,10180.40,369.18,239.43,129.75,1.27,0.00,0.00,07/24/2024,"CoCard 0827"
529808620112714,"RUN FOR RHONDA",0,0.00,0.00,8.51,-8.51,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498432734883,"SALTER PLUMBING",7,3099.75,226.08,205.69,20.39,0.66,0.00,0.00,01/24/2024,"CoCard 0827"
820100005405,SAVANNAHS,3139,112437.30,4464.83,2437.25,2027.58,1.80,0.00,0.00,01/25/2024,"CoCard 0827"
815201562882,"SCHRADER FUNERAL HOME IN",71,242811.30,5849.46,5764.49,84.97,0.03,0.00,0.00,05/31/2024,"CoCard 0827"
529808620112482,"SISTER SEASONS FUND",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,03/18/2024,"CoCard 0827"
815201648889,"THE FIELD HOUSE",215,13718.70,571.13,289.81,281.32,2.05,0.00,0.00,06/07/2024,"CoCard 0827"
498457467880,"THE PADRE HOTEL",2307,454729.60,12576.95,12311.12,265.83,0.06,0.00,0.00,08/20/2024,"CoCard 0827"
498457464887,"TOWER 23 HOTEL",741,476353.30,13445.54,13364.81,80.73,0.02,0.00,0.00,08/20/2024,"CoCard 0827"
820100013615,"TRINITY DEVELOPMENT COMPANY INC",0,0.00,124.95,107.30,17.65,0.00,0.00,0.00,06/14/2024,"CoCard 0827"
820100007880,UATAN,9,2266.73,101.76,65.81,35.95,1.59,0.00,0.00,03/12/2024,"CoCard 0827"
815217512889,"VALET PARK OF AMERICA",0,0.00,20.00,4.07,15.93,0.00,0.00,0.00,06/04/2025,"CoCard 0827"
815218783885,"VALET PARK OF AMERICA 2",0,0.00,20.00,3.40,16.60,0.00,0.00,0.00,06/30/2025,"CoCard 0827"
529808620112839,"WHEN IT COUNTS HOME INSPECTION",16,6349.50,136.98,131.69,5.29,0.08,0.00,0.00,05/29/2024,"CoCard 0827"
498435072885,"WOODARD CARPET & DESIGN",10,1709.42,165.72,146.26,19.46,1.14,0.00,0.00,02/14/2024,"CoCard 0827"
