id,merchant_id,dba_name,partner_branch_number,status,status_category,current_processor,created_at,updated_at,tenant_id
8,3286747838575270,Gaston's White River Resort,,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:12.694559,2025-11-01 19:49:30.501,1
30,3286748466021270,Sharecroppers Wagon Wheel,,Merchant Is Live,Boarding,Paybright,2025-10-31 06:55:14.546341,2025-11-01 19:49:35.217,1
25,12172,COMPANIONS CLOTHIER - Lisa,1210,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:14.124745,2025-11-14 14:37:34.218,1
55,12010,Ben's Beach Homes,4205,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:16.659775,2025-11-14 14:37:35.514,1
11,3286747886447890,Baker Eye Institute,,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:12.948645,2025-11-14 14:37:37.86,1
34,815217324889,GENESIS OF CONWAY,,Merchant Is Live,Boarding,MiCamp - FSP,2025-10-31 06:55:14.8807,2025-11-14 14:37:32.477,1
53,5482983600020030,Mobile One Communications,4715,Merchant Is Live,Boarding,Paybright,2025-10-31 06:55:16.486703,2025-11-14 14:37:31.956,1
33,12182,Quincy Brake & Alignment,4303,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:14.797609,2025-11-14 14:37:32.913,1
35,5436845560124900,Corridor Endodontics LLC,,Merchant Is Live,Boarding,TSYS,2025-10-31 06:55:14.964671,2025-11-14 14:37:31.785,1
37,11428,BMW of El Cajon,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:15.133925,2025-11-14 14:37:31.698,1
38,11429,BMW of El Cajon Warranty,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:15.218233,2025-11-14 14:37:31.612,1
39,11430,Kearny Mesa Chevrolet,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:15.300399,2025-11-14 14:37:31.526,1
42,11805,Amity Road Pharmacy,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:15.557217,2025-11-14 14:37:31.349,1
40,11431,Kearny Mesa Chevrolet - Warranty,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:15.384116,2025-11-14 14:37:31.44,1
19,3286747952973980,Advanced Auto Guard,,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:13.620873,2025-11-14 14:37:36.555,1
43,12270,Indian Pass Seafood Company,4212,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:15.640685,2025-11-14 14:37:36.382,1
59,22597201,Noodle Bowl,,Merchant Is Live,Boarding,Shift4,2025-10-31 06:55:17.079057,2025-11-14 14:37:30.914,1
45,11994,Financing-Platinum Cookware New Prime Systems,,Merchant Is Live,Boarding,TRX/TuaPay,2025-10-31 06:55:15.809414,2025-11-14 14:37:30.57,1
46,12025,Financing-Inspire Roofing LLC,,Merchant Is Live,Boarding,TRX/TuaPay,2025-10-31 06:55:15.893577,2025-11-14 14:37:30.483,1
27,820100031831,M2 Equipment rental,,Merchant Is Live,Boarding,MiCamp - FSP,2025-10-31 06:55:14.294372,2025-11-14 14:37:33.519,1
13,12696,JLD REALTY GROUP  LLC,4239,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:13.117068,2025-11-14 14:37:41.654,1
54,12049,Florida T's LLC dba Pelican Printing Co.,4239,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:16.575367,2025-11-14 14:37:29.619,1
52,5482983600019950,RAMSEY PAINT & BODY INC,4601,Unsatisfied With Service,Merchant Cancelled,PayBright,2025-10-31 06:55:16.40413,2025-11-01 19:49:38.934,1
32,815217326884,Chris Crain Hyundai,,Merchant Is Live,Boarding,MiCamp - FSP,2025-10-31 06:55:14.71374,2025-11-14 14:37:32.043,1
47,12019,Financing-Damaster's Enterprise LLC,,Merchant Is Live,Boarding,TRX/TuaPay,2025-10-31 06:55:15.977967,2025-11-14 14:37:30.396,1
44,22638104,Mythic Beach LLC,5001,Merchant Is Live,Boarding,Shift4,2025-10-31 06:55:15.724553,2025-11-14 14:37:35.693,1
51,11971,"Don's Supply, Inc.",1210,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:16.31961,2025-11-14 14:37:29.533,1
26,3286748748433040,Michael Bonne,4013,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:14.208214,2025-11-01 19:49:39.658,1
48,12131,Strike Marine Salvage Sales,4601,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:16.062819,2025-11-14 14:37:33.434,1
1247,LEAD-UIO8UA2H,BRYAN EVANS LLC,4220,Pitched Decision Maker,Deal Status,,2025-10-31 12:27:49.962616,2025-10-31 12:27:49.962616,1
2876,LEAD-ZDI6KSLL,KERRVILLE VIKING AUTO GLASS,2212,Brand New,Qualifying,,2025-11-01 19:44:35.162722,2025-11-01 19:44:35.162722,1
63,6588000002870280,Nokomis Auto Center,4715,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:17.417915,2025-11-01 19:49:41.265,1
97,11726,"G C MECHANICAL SERVICES , CORP",4001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.369676,2025-11-14 14:37:26.501,1
65,12750,Fayetteville Lions Club,1509,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:17.583728,2025-11-14 14:37:42.001,1
94,498471271888,STATE MOTOR AND CONTROL,,Merchant Is Live,Boarding,MiCamp - North,2025-10-31 06:55:20.117266,2025-11-14 14:37:25.291,1
74,11756,Keto5,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.426828,2025-11-14 14:37:21.046,1
117,12012,STONE SPECIALISTS LLC,4001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:22.053784,2025-11-14 14:37:30.311,1
73,11797,CCM SEPTIC SERVICE LLC,4205,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.343479,2025-11-14 14:37:23.723,1
71,6588000002854240,JOHN P. SHELDON,4007,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:18.17389,2025-11-01 19:49:43.454,1
67,11835,ARKANSAS MUNICIPAL LEAGUE,1210,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:17.754085,2025-11-14 14:37:25.032,1
64,11862,KFS2,4007,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:17.500745,2025-11-14 14:37:26.242,1
93,498470414885,GEON PERFORMANCE SOLUTIO,,Merchant Is Live,Boarding,MiCamp-North,2025-10-31 06:55:20.03372,2025-11-14 14:37:21.478,1
70,11792,Charley's Automotive,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.091031,2025-11-14 14:37:23.637,1
76,11749,High Point Park Apartments - Operating - TRX,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.59353,2025-11-14 14:37:20.872,1
77,11750,High Point Park Apartments - Escrow - TRX,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.677786,2025-11-14 14:37:20.786,1
78,11753,Trinity Development - TRX,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.763226,2025-11-14 14:37:20.699,1
79,11752,Encore at Lewis Ranch - Escrow - TRX,1001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.851076,2025-11-14 14:37:20.613,1
80,11751,Encore at Lewis Ranch - Operating - TRX,1001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.933734,2025-11-14 14:37:20.527,1
82,6588000002845140,Quail Run Health and Rehab,,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:19.101105,2025-11-01 19:49:45.106,1
81,11735,Centennial Bank - Summit,1001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:19.01771,2025-11-14 14:37:20.258,1
66,11843,Emily's Flowers and Gifts,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:17.669259,2025-11-14 14:37:31.176,1
96,11727,THE FINISHING TOUCH OF NORTH FLORIDA LLC,4302,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.285711,2025-11-14 14:37:19.134,1
86,6588000002843250,COMBUSTION DRIVEN REPAIRS LLC,4007,Business Closed,Merchant Cancelled,Clearent,2025-10-31 06:55:19.440464,2025-11-01 19:49:46.272,1
85,11565,Lance For Land,1202,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:19.354559,2025-11-14 14:37:18.529,1
87,11706,Pierogi Polish Market - TRX,4007,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:19.525161,2025-11-14 14:37:18.09,1
88,21878958,SP030TE - SKYTAB DEMO TEST,,Merchant Is Live,Boarding,S4,2025-10-31 06:55:19.608333,2025-11-14 14:37:16.876,1
89,21997519,SP030MP- SKYTAB DEMO TEST,,Merchant Is Live,Boarding,S4,2025-10-31 06:55:19.695443,2025-11-14 14:37:16.789,1
90,21928399,FL Keys Com Fish,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:19.780447,2025-11-14 14:37:16.703,1
112,11657,Quiet Technology Aerospace,4604,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.62743,2025-11-14 14:37:22.509,1
68,11820,THE FLOWER SHOP In Apalach,4201,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:17.838222,2025-11-14 14:37:25.55,1
113,11640,Bizav Support,4604,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.710057,2025-11-14 14:37:16.44,1
83,11524,St. Joseph Flea Market,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:19.185582,2025-11-14 14:37:19.307,1
69,11857,Mountain View Custom Butcher,1118,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:18.006091,2025-11-14 14:37:29.106,1
95,815209580886,EOI DIRECT,,Merchant Is Live,Boarding,MiCamp - North,2025-10-31 06:55:20.202108,2025-11-14 14:37:16.267,1
98,11581,MBS Wellness,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.453885,2025-11-14 14:37:14.969,1
99,11529,Stone's Corner Pharmacy,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.536758,2025-11-14 14:37:14.883,1
100,11609,Southern Pharmacy,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.619435,2025-11-14 14:37:14.797,1
101,11594,Southern Coaching and Consulting,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.702262,2025-11-14 14:37:14.71,1
102,11564,Parkland Apothecary,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.786534,2025-11-14 14:37:14.624,1
116,11520,Ashford Park HOA,5004,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.969848,2025-11-14 14:37:13.319,1
105,11306,GRINDER LAW FIRM - TRX,1010,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.03967,2025-11-14 14:37:13.232,1
108,6588000002205860,KAYAK KINGS OF KEY WEST - Clearent,4007,Business Closed,Merchant Cancelled,Clearent,2025-10-31 06:55:21.292863,2025-11-01 19:49:49.784,1
106,11208,FL Comm Fishermens Assoc - TRX,4004,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.126047,2025-11-14 14:37:12.526,1
109,11514,Tanglewood Health Management,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.376856,2025-11-14 14:37:12.266,1
110,11504,Debbie's Family Pharmacy,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.460251,2025-11-14 14:37:12.179,1
75,11768,Turner Eye Clinic,1110,Equipment Shipped,Boarding,TRX,2025-10-31 06:55:18.510191,2025-11-14 14:37:22.856,1
91,21809588,Rev Room,,Merchant Is Live,Boarding,S4,2025-10-31 06:55:19.86444,2025-11-14 14:37:16.614,1
111,11388,Excelr8,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.544532,2025-11-14 14:37:12.093,1
103,11563,Beebe Drug Inc.,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:20.870641,2025-11-14 14:37:14.536,1
84,22630572,Sabor Guacamole,1507,Merchant Is Live,Boarding,S4,2025-10-31 06:55:19.270112,2025-11-14 14:37:31.001,1
114,11500,Allied Compliance Services - Hurst,1001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:21.792927,2025-11-14 14:37:12.006,1
119,6588000002741980,JET Volleyball Club,,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:22.221827,2025-11-01 19:49:51.968,1
118,11261,Bill's Automotive,1001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:22.137809,2025-11-14 14:37:10.879,1
120,21826686,THE KAST NET,4220,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.306256,2025-11-14 14:37:10.62,1
121,21862960,SAMUELS HOUSE,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.390615,2025-11-14 14:37:10.533,1
122,21774587,MARCO ESCAPES INC,4011,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.474552,2025-11-14 14:37:10.444,1
123,21806567,KEY WEST EMPORIUM - KAYA ISLAND,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.55635,2025-11-14 14:37:10.357,1
173,6588000002769480,Tobacco Haven 4,,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:26.762367,2025-11-01 19:50:04.841,1
2946,LEAD-C0RP4WCT,BIG PINE MOTEL LLC,4005,Called LVM,Qualifying,,2025-11-01 19:49:25.457617,2025-11-01 19:49:25.457617,1
133,11434,Jim's Machine Shop,1315,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:23.400847,2025-11-14 14:37:11.314,1
168,498459445884,MOE GAS AND DIESEL,4301,Merchant Is Live,Boarding,MiCamp,2025-10-31 06:55:26.341483,2025-11-14 14:37:05.909,1
125,21806568,KEY WEST EMPORIUM - 618 DUVAL ST,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.722715,2025-11-14 14:37:10.185,1
180,11227,True Timeshare Realty LLC,4508,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:27.351447,2025-11-14 14:37:03.921,1
177,529808550400568,GALCO INDUSTRIAL ELECTRONICS I,,Business Closed,Merchant Cancelled,Mi Camp - North,2025-10-31 06:55:27.094195,2025-11-14 14:37:12.873,1
160,11288,ELITE AUTO GROUP,1112,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:25.666695,2025-11-14 14:37:08.277,1
134,21799921,CRUZY,1012,Merchant Is Live,Boarding,S4,2025-10-31 06:55:23.485402,2025-11-14 14:37:07.14,1
135,820100007781,FACES CLOSED,1001,Processing Under New MID,Merchant Cancelled,MiCamp - FSP,2025-10-31 06:55:23.573491,2025-11-14 14:37:07.055,1
136,10444,Toms Auto Repair,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:23.65819,2025-11-14 14:37:06.967,1
137,10564,Champ Hinton Used Cars,1001,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:23.740695,2025-11-14 14:37:06.881,1
146,924600888802522,PIEROGI POLISH MARKET INC,4007,Business Closed,Merchant Cancelled,Merchant Lynx,2025-10-31 06:55:24.49605,2025-11-14 14:37:34.392,1
138,10355,Raptor Roofing and Construction,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:23.826218,2025-11-14 14:37:06.794,1
140,10816,Love and Son Nursery,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:23.993105,2025-11-14 14:37:06.707,1
141,10836,Kim's Cleaners Austin,,Brand New,Qualifying,TRX,2025-10-31 06:55:24.077436,2025-11-14 14:37:06.531,1
142,10838,Anthony's Laundry and Dry Cleaners,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:24.161916,2025-11-14 14:37:06.437,1
143,10943,Prana Spa,4007,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:24.244388,2025-11-14 14:37:06.351,1
144,10996,DC Accounting Services PA,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:24.329024,2025-11-14 14:37:06.265,1
185,497249719889,Gordon Electric,,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:27.770088,2025-11-14 14:37:34.739,1
145,924600888802878,SLICE OF PARADISE OF THE,,Merchant Is Live,Boarding,Merchant Lynx,2025-10-31 06:55:24.412852,2025-11-14 14:37:06.178,1
166,6588000002765600,Coffey Tire and Brake INC,1001,Business Closed,Merchant Cancelled,Clearent,2025-10-31 06:55:26.174317,2025-11-14 14:37:41.569,1
149,6588000002802340,Fleet Concrete Inc,4705,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:24.746806,2025-11-01 19:49:56.644,1
153,22500833,Up 4 Breakfast- Lakewood Plaza,4507,Merchant Is Live,Boarding,Shift 4,2025-10-31 06:55:25.080534,2025-11-14 14:37:22.942,1
174,498459404881,Digital Tech Group,,Merchant Is Live,Boarding,Tsys,2025-10-31 06:55:26.845756,2025-11-14 14:37:05.735,1
139,10801,"Apalachee Backhoe & Septic Tank, LLC",4227,Unsatisfied With Service,Merchant Cancelled,TRX,2025-10-31 06:55:23.909685,2025-11-14 14:37:27.456,1
154,6588000002788840,AMTECH,2006,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:25.165122,2025-11-01 19:49:57.925,1
155,6588000002786600,KNOX CRANE SERVICE,4212,Out Of Business,Merchant Cancelled,Clearent,2025-10-31 06:55:25.248894,2025-11-01 19:49:58.397,1
156,5436845560294980,BEDFORD CAMERA AND VIDE,1510,Merchant Is Live,Boarding,TSYS,2025-10-31 06:55:25.332157,2025-11-01 19:49:58.849,1
159,11134,Tax Ladies of Cabot,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:25.583436,2025-11-14 14:36:58.969,1
164,11111,DBA DILLARD AND SON CONSTRUCTION,1110,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:26.005373,2025-11-14 14:37:00.378,1
130,21872092,ANDY AND DAVES GARAGE,4001,Merchant Is Live,Boarding,S4,2025-10-31 06:55:23.149599,2025-11-14 14:37:09.659,1
175,10843,Diesel Barn,4220,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:26.928516,2025-11-14 14:37:02.623,1
162,6588000002774770,City of Port St. Joe,,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:25.833199,2025-11-01 19:50:00.775,1
161,11209,Superior Success,1214,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:25.75071,2025-11-14 14:37:02.189,1
163,11127,Cabins at Seven Foxes,4606,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:25.918811,2025-11-14 14:37:02.017,1
165,6588000002770300,The Wicks Foundation for Veterans,,Business Closed,Merchant Cancelled,Clearent,2025-10-31 06:55:26.088088,2025-11-01 19:50:01.805,1
179,3286747181507920,South Cone Garage,1405,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:27.26125,2025-11-14 14:37:45.551,1
158,11133,Jewelry Concepts,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:25.500047,2025-11-14 14:36:58.882,1
147,924600888802712,MARINA AT FACTORY BAY ASS,4020,Merchant Is Live,Boarding,Merchant Lynx,2025-10-31 06:55:24.580352,2025-11-14 14:37:06.091,1
170,498457464887,Tower 23,,Merchant Is Live,Boarding,Mi Camp - North,2025-10-31 06:55:26.509978,2025-11-14 14:36:55.155,1
167,10950,MACs Towing Service,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:26.257253,2025-11-14 14:36:55.414,1
169,498457467880,The Padre Hotel,,Merchant Is Live,Boarding,Mi Camp - North,2025-10-31 06:55:26.425311,2025-11-14 14:36:55.068,1
186,10812,River Resort Enterprises dba Jo-Jo's Catfish Warf,1117,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:27.853184,2025-11-14 14:36:53.503,1
150,11736,CHEF BLENDS INC,4403,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:24.829539,2025-11-14 14:37:20.959,1
152,11263,Hyde's Rescreening Inc,4605,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:24.996122,2025-11-14 14:37:05.389,1
182,10805,Branded By Watson,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:27.519283,2025-11-14 14:36:52.378,1
176,10856,United Fence,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:27.011749,2025-11-14 14:36:53.418,1
181,529808620200618,Rooftop Chimney,,Merchant Is Live,Boarding,MiCamp - North,2025-10-31 06:55:27.435066,2025-11-14 14:36:52.291,1
184,6588000002741500,Lead Apron Catering LLC,1301,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:27.687089,2025-11-01 19:50:09.625,1
148,924600888802704,DOBBS FUNERAL HOME,,Business Closed,Merchant Cancelled,Merchant Lynx,2025-10-31 06:55:24.663814,2025-11-14 14:37:39.068,1
172,22106490,Jose's Latin Food,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:26.679482,2025-11-14 14:36:54.72,1
183,10709,Stickyz Chicken Shack,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:27.603517,2025-11-14 14:36:50.372,1
126,21788133,IBIS BAY WATER SPORTS,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.80566,2025-11-14 14:37:10.098,1
127,21788132,IBIS BAY RESORT,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.889023,2025-11-14 14:37:10.005,1
128,21788134,GENSCO PHARMA,4612,Merchant Is Live,Boarding,S4,2025-10-31 06:55:22.973563,2025-11-14 14:37:09.918,1
131,6588000002466750,TOBACCO HAVEN 3,,Merchant Is Live,Boarding,Clearent,2025-10-31 06:55:23.233975,2025-11-01 19:49:53.051,1
2877,LEAD-QR0D056X,Arkansas Archaeology LLC,,Buried - No Reason Specified,Dead End,,2025-11-01 19:44:35.254081,2025-11-01 19:44:35.254081,1
209,10516,Brockinton Auto Sales,1110,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:29.874299,2025-11-14 14:36:47.594,1
207,10748,LOWREY HOLDINGS LLC dba SALLIE,5005,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:29.707726,2025-11-14 14:36:51.163,1
1248,LEAD-NRZNJSKG,Lost Pizza Co.,,Future Follow Up,Not Yet Interested,Toast,2025-10-31 12:27:50.047505,2025-10-31 12:27:50.047505,1
208,10680,Frankburg Vintage LLC,4018,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:29.790943,2025-11-14 14:37:43.031,1
218,50110105916,SOUTHEASTERN PUMP,4601,Merchant Is Live,Boarding,Payment Advisors,2025-10-31 06:55:30.715134,2025-11-14 14:37:04.443,1
199,820100012898,TOBACCO HAVEN,1309,Business Closed,Merchant Cancelled,MiCamp,2025-10-31 06:55:29.025734,2025-11-14 14:37:09.487,1
236,22036861,El Cuervo Taqueria Express,1507,Merchant Is Live,Boarding,S 4,2025-10-31 06:55:32.551258,2025-11-14 14:36:46.451,1
227,529808620112839,WHEN IT COUNTS HOME INSPECTIONS LLC,1110,Merchant Is Live,Boarding,MiCamp - North,2025-10-31 06:55:31.548528,2025-11-14 14:36:50.116,1
215,11970,RENAISSANCE I ASSOCIATION INC,4709,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:30.458355,2025-11-14 14:37:28.242,1
190,10645,Wood Chip Marine and Lumber,4107,Not Processing No Activity,Merchant Cancelled,TRX,2025-10-31 06:55:28.185892,2025-11-14 14:37:24.51,1
219,50110225086,MYGENICS,4013,Merchant Is Live,Boarding,Payment Advisors,2025-10-31 06:55:30.799351,2025-11-14 14:37:04.352,1
231,6588000002583190,A1 SECURITY SUPPLY INC,,Business Closed,Merchant Cancelled,,2025-10-31 06:55:31.968612,2025-11-01 19:50:20.924,1
232,6588000002585210,Beach RV LLC,4203,Business Closed,Merchant Cancelled,Clearent,2025-10-31 06:55:32.051554,2025-11-01 19:50:21.019,1
212,6588000002700330,A1 Security Supply,4616,Business Closed,Merchant Cancelled,Clearent,2025-10-31 06:55:30.124659,2025-11-01 19:50:21.481,1
189,6588000002731840,MERCHANT #6588000002731842,1112,Business Closed,Merchant Cancelled,Clearent,2025-10-31 06:55:28.103111,2025-11-01 19:50:11.746,1
